symbol,bar_ts,open,high,low,close,volume,vwap,trade_count
AAPL,2026-09-22T09:30:00,225.0,225.0615,224.9036,225.0615,48765,224.9723,4
MSFT,2026-09-22T09:30:00,430.0,430.563,429.4288,430.563,10240,430.0535,4
GOOGL,2026-09-22T09:30:00,175.0,175.4742,174.8966,174.9357,39269,175.1204,4
AMZN,2026-09-22T09:30:00,190.0,190.0,189.599,189.6273,16736,189.8003,4
TSLA,2026-09-22T09:30:00,250.0,250.1806,249.7567,249.7567,4672,250.0161,4
AAPL,2026-09-22T09:31:00,225.0615,225.5704,225.0615,225.5704,33618,225.3642,4
MSFT,2026-09-22T09:31:00,430.563,430.9325,430.4686,430.7546,4496,430.6582,4
GOOGL,2026-09-22T09:31:00,174.9357,174.9357,174.6167,174.7754,38475,174.7695,4
AMZN,2026-09-22T09:31:00,189.6273,190.0387,189.6273,190.0387,46437,189.8245,4
TSLA,2026-09-22T09:31:00,249.7567,250.0068,249.7228,249.7228,6940,249.8556,4
AAPL,2026-09-22T09:32:00,225.5704,225.5704,224.9384,225.0574,18731,225.2432,4
MSFT,2026-09-22T09:32:00,430.7546,430.7546,430.2145,430.2979,36129,430.4782,4
GOOGL,2026-09-22T09:32:00,174.7754,175.4785,174.7754,175.4785,48569,175.0637,4
AMZN,2026-09-22T09:32:00,190.0387,190.1959,189.7111,190.1959,40549,189.9442,4
TSLA,2026-09-22T09:32:00,249.7228,250.1046,249.7228,249.9404,7045,249.917,4
AAPL,2026-09-22T09:33:00,225.0574,225.294,224.9871,225.2398,6578,225.1352,4
MSFT,2026-09-22T09:33:00,430.2979,430.2979,429.3399,429.8004,21576,429.7282,4
GOOGL,2026-09-22T09:33:00,175.4785,175.4785,175.2268,175.322,32959,175.3696,4
AMZN,2026-09-22T09:33:00,190.1959,190.1959,190.0021,190.0772,13094,190.0836,4
TSLA,2026-09-22T09:33:00,249.9404,249.9404,248.9676,248.9676,7808,249.4757,4
AAPL,2026-09-22T09:34:00,225.2398,225.2398,224.3559,224.3559,25307,224.762,4
MSFT,2026-09-22T09:34:00,429.8004,430.54,429.6736,430.0846,4339,430.0093,4
GOOGL,2026-09-22T09:34:00,175.322,175.322,175.0917,175.2863,16167,175.2168,4
AMZN,2026-09-22T09:34:00,190.0772,190.5567,190.0772,190.5455,46385,190.3523,4
TSLA,2026-09-22T09:34:00,248.9676,248.9676,247.7336,247.7336,16998,248.4715,4
AAPL,2026-09-22T09:35:00,224.3559,224.3559,223.2538,223.2538,3503,223.756,4
MSFT,2026-09-22T09:35:00,430.0846,432.1252,430.0846,432.1252,17967,431.2907,4
