trade_id,symbol,price,size,exchange_code,conditions,trade_ts
1,AAPL,224.9676,10,V,@,2026-09-25T13:30:15Z
1561,MSFT,429.4288,10,V,@,2026-09-25T13:30:15Z
3121,GOOGL,175.2954,100,V,@,2026-09-25T13:30:15Z
4681,AMZN,189.8561,200,V,@,2026-09-25T13:30:15Z
6241,TSLA,249.9801,25,V,@,2026-09-25T13:30:15Z
2,AAPL,224.9287,500,V,@,2026-09-25T13:30:30Z
1562,MSFT,430.1744,200,V,@,2026-09-25T13:30:30Z
3122,GOOGL,175.4742,100,V,@,2026-09-25T13:30:30Z
4682,AMZN,189.919,25,V,@,2026-09-25T13:30:30Z
6242,TSLA,250.1806,200,V,@,2026-09-25T13:30:30Z
3,AAPL,224.9036,500,V,@,2026-09-25T13:30:45Z
1563,MSFT,430.1013,200,V,@,2026-09-25T13:30:45Z
3123,GOOGL,174.8966,50,V,@,2026-09-25T13:30:45Z
4683,AMZN,189.599,500,V,@,2026-09-25T13:30:45Z
6243,TSLA,250.163,50,V,@,2026-09-25T13:30:45Z
4,AAPL,225.0615,200,V,@,2026-09-25T13:31:00Z
1564,MSFT,430.563,200,V,@,2026-09-25T13:31:00Z
3124,GOOGL,174.9357,10,V,@,2026-09-25T13:31:00Z
4684,AMZN,189.6273,200,V,@,2026-09-25T13:31:00Z
6244,TSLA,249.7567,10,V,@,2026-09-25T13:31:00Z
5,AAPL,225.2629,200,V,@,2026-09-25T13:31:15Z
1565,MSFT,430.5725,10,V,@,2026-09-25T13:31:15Z
3125,GOOGL,174.9,25,V,@,2026-09-25T13:31:15Z
4685,AMZN,189.6869,25,V,@,2026-09-25T13:31:15Z
6245,TSLA,249.8057,200,V,@,2026-09-25T13:31:15Z
6,AAPL,225.3854,10,V,@,2026-09-25T13:31:30Z
1566,MSFT,430.9325,50,V,@,2026-09-25T13:31:30Z
3126,GOOGL,174.6167,200,V,@,2026-09-25T13:31:30Z
4686,AMZN,189.829,500,V,@,2026-09-25T13:31:30Z
6246,TSLA,249.986,10,V,@,2026-09-25T13:31:30Z
7,AAPL,225.5409,200,V,@,2026-09-25T13:31:45Z
1567,MSFT,430.4686,100,V,@,2026-09-25T13:31:45Z
3127,GOOGL,174.6199,25,V,@,2026-09-25T13:31:45Z
4687,AMZN,189.9404,100,V,@,2026-09-25T13:31:45Z
6247,TSLA,250.0068,50,V,@,2026-09-25T13:31:45Z
8,AAPL,225.5704,25,V,@,2026-09-25T13:32:00Z
1568,MSFT,430.7546,25,V,@,2026-09-25T13:32:00Z
3128,GOOGL,174.7754,200,V,@,2026-09-25T13:32:00Z
4688,AMZN,190.0387,25,V,@,2026-09-25T13:32:00Z
6248,TSLA,249.7228,500,V,@,2026-09-25T13:32:00Z
9,AAPL,225.4961,10,V,@,2026-09-25T13:32:15Z
1569,MSFT,430.2145,10,V,@,2026-09-25T13:32:15Z
3129,GOOGL,174.9213,200,V,@,2026-09-25T13:32:15Z
4689,AMZN,189.7111,25,V,@,2026-09-25T13:32:15Z
6249,TSLA,249.9782,200,V,@,2026-09-25T13:32:15Z
10,AAPL,225.1535,25,V,@,2026-09-25T13:32:30Z
1570,MSFT,430.5145,100,V,@,2026-09-25T13:32:30Z
3130,GOOGL,174.8127,10,V,@,2026-09-25T13:32:30Z
4690,AMZN,189.7652,25,V,@,2026-09-25T13:32:30Z
6250,TSLA,250.1046,200,V,@,2026-09-25T13:32:30Z
11,AAPL,224.9384,500,V,@,2026-09-25T13:32:45Z
1571,MSFT,430.6097,500,V,@,2026-09-25T13:32:45Z
3131,GOOGL,175.3304,100,V,@,2026-09-25T13:32:45Z
4691,AMZN,190.0103,200,V,@,2026-09-25T13:32:45Z
6251,TSLA,249.8389,25,V,@,2026-09-25T13:32:45Z
12,AAPL,225.0574,100,V,@,2026-09-25T13:33:00Z
1572,MSFT,430.2979,50,V,@,2026-09-25T13:33:00Z
3132,GOOGL,175.4785,200,V,@,2026-09-25T13:33:00Z
4692,AMZN,190.1959,500,V,@,2026-09-25T13:33:00Z
6252,TSLA,249.9404,200,V,@,2026-09-25T13:33:00Z
13,AAPL,224.9871,100,V,@,2026-09-25T13:33:15Z
1573,MSFT,429.5536,100,V,@,2026-09-25T13:33:15Z
3133,GOOGL,175.2268,25,V,@,2026-09-25T13:33:15Z
4693,AMZN,190.1047,25,V,@,2026-09-25T13:33:15Z
6253,TSLA,249.617,500,V,@,2026-09-25T13:33:15Z
14,AAPL,225.0974,10,V,@,2026-09-25T13:33:30Z
1574,MSFT,429.649,50,V,@,2026-09-25T13:33:30Z
3134,GOOGL,175.4235,10,V,@,2026-09-25T13:33:30Z
4694,AMZN,190.0021,100,V,@,2026-09-25T13:33:30Z
6254,TSLA,249.6429,100,V,@,2026-09-25T13:33:30Z
15,AAPL,225.294,50,V,@,2026-09-25T13:33:45Z
1575,MSFT,429.3399,25,V,@,2026-09-25T13:33:45Z
3135,GOOGL,175.3973,200,V,@,2026-09-25T13:33:45Z
4695,AMZN,190.0379,10,V,@,2026-09-25T13:33:45Z
