User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
19,1,2026,8,22,11:49,$23.67,Swipe Transaction,-5003224336,Houston,WA,93886,7995,,No
112,1,2026,8,22,11:56,$4.04,Chip Transaction,-8679236864,New York,IL,84364,5812,,No
58,2,2026,8,22,12:01,$5.09,Swipe Transaction,-5858092863,Seattle,IL,50857,4111,,No
186,0,2026,8,22,12:03,$20.59,Chip Transaction,-9748162863,Houston,NY,61173,5732,,No
196,0,2026,8,22,12:10,$17.74,Swipe Transaction,-8433057726,Chicago,MI,37460,5732,,No
152,0,2026,8,22,12:14,$56.44,Chip Transaction,-1042186646,Houston,CA,79822,5541,Bad PIN,No
188,2,2026,8,22,12:20,$4.87,Online Transaction,-4535306022,Seattle,IL,54942,4899,,No
74,0,2026,8,22,12:35,$17.71,Online Transaction,-7657668555,Seattle,FL,14165,5411,,No
77,1,2026,8,22,12:48,$22.46,Swipe Transaction,-7657668555,Seattle,FL,14165,5411,,No
140,2,2026,8,22,12:49,$27.65,Chip Transaction,-2952122732,New York,WA,66985,5541,,No
3,0,2026,8,22,13:16,$26.48,Swipe Transaction,-1148254644,Chicago,NY,16572,5999,,No
57,0,2026,8,22,13:27,$17.73,Chip Transaction,-2913827697,Houston,GA,69177,5812,,No
138,0,2026,8,22,13:50,$78.14,Swipe Transaction,-2332927794,Chicago,FL,82845,5942,,No
70,0,2026,8,22,14:00,$7.81,Chip Transaction,-7553262727,Seattle,PA,15209,5999,,No
134,1,2026,8,22,14:07,$14.38,Online Transaction,-9759748338,New York,MI,62581,5732,,No
102,0,2026,8,22,14:08,$10.85,Chip Transaction,-1042186646,Houston,CA,79822,5541,,No
22,2,2026,8,22,14:14,$28.52,Online Transaction,-2952122732,New York,WA,66985,5541,,No
39,0,2026,8,22,14:27,$24.65,Swipe Transaction,-8860972880,Chicago,CA,42018,5311,,No
63,2,2026,8,22,14:36,$17.11,Chip Transaction,-8029246294,Chicago,TX,42325,7995,,No
29,0,2026,8,22,14:36,$3.63,Swipe Transaction,-7553262727,Seattle,PA,15209,5999,,No
133,0,2026,8,22,14:42,$37.40,Swipe Transaction,-1115768534,New York,IL,62923,5812,,No
122,1,2026,8,22,14:48,$9.93,Online Transaction,-9747139103,New York,NY,53309,5812,,No
198,1,2026,8,22,15:00,$14.10,Swipe Transaction,-6326438361,New York,FL,46434,5942,,No
184,1,2026,8,22,15:05,$22.67,Chip Transaction,-9332220623,Chicago,CA,22156,4111,,No
115,0,2026,8,22,15:07,$6.81,Swipe Transaction,-9747139103,New York,NY,53309,5812,,No
0,0,2026,8,22,15:19,$12.40,Chip Transaction,-4535306022,Seattle,IL,54942,4899,,No
110,1,2026,8,22,15:34,$16.66,Online Transaction,-7589470809,Detroit,GA,64987,4899,,No
45,0,2026,8,22,15:37,$47.43,Online Transaction,-5352916651,Detroit,PA,84085,7995,,No
175,0,2026,8,22,15:42,$46.30,Chip Transaction,-7253682786,New York,WA,42098,4899,,No
47,2,2026,8,22,15:59,$82.65,Chip Transaction,-8433057726,Chicago,MI,37460,5732,,No
123,1,2026,8,22,16:13,$113.26,Online Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
137,0,2026,8,22,16:15,$64.39,Swipe Transaction,-5981051812,New York,OH,91416,5999,,No
169,2,2026,8,22,16:17,$10.21,Swipe Transaction,-9335152680,Chicago,IL,17665,5999,,No
82,0,2026,8,22,16:22,$3.23,Online Transaction,-3019388817,Detroit,GA,89818,4899,,No
31,1,2026,8,22,16:25,$35.94,Swipe Transaction,-7553262727,Seattle,PA,15209,5999,,No
65,2,2026,8,22,16:25,$124.79,Swipe Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
136,2,2026,8,22,16:29,$29.93,Swipe Transaction,-1115768534,New York,IL,62923,5812,,No
34,2,2026,8,22,16:32,$9.58,Chip Transaction,-7438442699,Houston,FL,88104,5942,,No
83,0,2026,8,22,16:35,$63.23,Swipe Transaction,-4535306022,Seattle,IL,54942,4899,,No
176,2,2026,8,22,16:39,$160.18,Online Transaction,-3989620584,Los Angeles,TX,76784,5942,,No
108,2,2026,8,22,16:48,$57.83,Online Transaction,-2913827697,Houston,GA,69177,5812,,No
97,1,2026,8,22,16:58,$40.83,Online Transaction,-7657668555,Seattle,FL,14165,5411,,No
32,0,2026,8,22,17:05,$51.51,Online Transaction,-9701262893,Detroit,IL,47930,5812,,No
108,2,2026,8,22,17:06,$55.68,Swipe Transaction,-3853681964,Houston,FL,71213,5411,,No
169,2,2026,8,22,17:09,$25.90,Chip Transaction,-9335152680,Chicago,IL,17665,5999,,No
23,1,2026,8,22,17:33,$24.55,Chip Transaction,-2952122732,New York,WA,66985,5541,,No
78,2,2026,8,22,18:25,$39.04,Swipe Transaction,-8880019869,Detroit,MI,41285,5732,,No
95,1,2026,8,22,18:29,$51.93,Chip Transaction,-7620925180,Seattle,IL,10942,5812,,No
46,1,2026,8,22,18:45,$55.53,Swipe Transaction,-8433057726,Chicago,MI,37460,5732,,No
70,2,2026,8,22,18:59,$125.54,Online Transaction,-8860972880,Chicago,CA,42018,5311,,No
24,1,2026,8,22,19:10,$15.44,Online Transaction,-7718830596,New York,GA,20500,5541,,No
194,1,2026,8,22,19:12,$26.62,Chip Transaction,-2570858543,Seattle,CA,59615,5812,,No
150,0,2026,8,22,19:20,$36.64,Online Transaction,-5003224336,Houston,WA,93886,7995,,No
158,0,2026,8,22,19:25,$175.06,Swipe Transaction,-3132585291,Houston,NY,24662,5311,,No
7,1,2026,8,22,19:28,$15.60,Chip Transaction,-7718830596,New York,GA,20500,5541,,No
176,0,2026,8,22,19:57,$19.05,Chip Transaction,-5003224336,Houston,WA,93886,7995,,No
30,0,2026,8,22,20:02,$10.47,Online Transaction,-3019388817,Detroit,GA,89818,4899,,No
28,2,2026,8,22,20:04,$136.91,Online Transaction,-7620925180,Seattle,IL,10942,5812,,No
197,2,2026,8,22,20:14,$15.17,Chip Transaction,-2332927794,Chicago,FL,82845,5942,,No
6,1,2026,8,22,20:21,$9.93,Online Transaction,-5981051812,New York,OH,91416,5999,,No
165,1,2026,8,22,20:33,$48.43,Swipe Transaction,-3132585291,Houston,NY,24662,5311,,No
60,0,2026,8,22,20:37,$35.69,Online Transaction,-9332220623,Chicago,CA,22156,4111,,No
46,1,2026,8,22,20:39,$16.75,Swipe Transaction,-5352916651,Detroit,PA,84085,7995,,No
176,0,2026,8,22,20:43,$96.89,Online Transaction,-9715722110,Seattle,MI,37869,5942,,No
145,2,2026,8,22,20:50,$17.51,Chip Transaction,-7657668555,Seattle,FL,14165,5411,,No
129,2,2026,8,22,21:02,$56.72,Chip Transaction,-7438442699,Houston,FL,88104,5942,,No
2,2,2026,8,22,21:08,$0.91,Swipe Transaction,-8880019869,Detroit,MI,41285,5732,,No
194,1,2026,8,22,21:08,$51.87,Chip Transaction,-8051271516,Detroit,WA,75612,5541,,No
43,0,2026,8,22,21:16,$32.06,Chip Transaction,-2913827697,Houston,GA,69177,5812,,No
31,1,2026,8,22,21:27,$95.47,Online Transaction,-1103393960,Detroit,TX,80010,4899,,No
145,2,2026,8,22,21:28,$6.21,Chip Transaction,-8775988461,Houston,GA,49651,5999,,No
194,2,2026,8,22,22:15,$22.87,Chip Transaction,-5858092863,Seattle,IL,50857,4111,,No
53,1,2026,8,22,22:17,$25.50,Chip Transaction,-3132585291,Houston,NY,24662,5311,,No
143,1,2026,8,22,22:42,$206.04,Chip Transaction,-7438442699,Houston,FL,88104,5942,,No
24,2,2026,8,22,22:46,$16.46,Chip Transaction,-5048593026,Los Angeles,GA,79514,5411,,No
165,0,2026,8,22,22:55,$7.09,Chip Transaction,-6354879578,Los Angeles,FL,73653,5942,,No
51,0,2026,8,22,23:00,$98.78,Chip Transaction,-7657668555,Seattle,FL,14165,5411,,No
